Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Casualty_class,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
555,1,1,1,4,0,1,0,4,4,5,0,0,3,2,2,8,2,2,1,2,5,3,2
75,0,1,1,4,0,3,0,2,2,5,0,0,0,3,2,8,1,2,3,3,5,0,1
985,6,0,1,2,0,1,0,9,2,5,1,0,3,3,4,8,1,2,2,2,2,0,1
352,1,0,1,1,0,1,3,9,4,5,7,0,3,3,2,8,2,9,3,3,5,5,2
173,0,3,1,4,2,1,4,7,1,5,1,0,0,3,2,8,2,2,0,2,5,3,1
450,0,1,1,4,0,3,9,4,4,5,1,0,3,3,4,6,2,2,0,2,5,0,2
71,4,2,1,0,2,1,11,6,2,5,1,0,0,3,2,8,2,2,0,2,5,11,2
453,1,0,1,4,0,0,10,7,2,5,1,0,3,3,4,6,3,2,2,2,5,1,2
425,5,0,1,4,2,3,7,2,2,3,7,0,0,0,2,8,2,2,3,3,5,1,2
59,2,0,1,2,0,2,5,7,4,5,1,0,0,3,2,6,2,2,3,3,5,11,2
439,1,0,1,4,2,2,5,7,4,5,7,0,0,0,2,8,2,2,3,3,5,10,2
889,4,1,1,4,0,3,8,2,6,5,0,0,0,3,2,8,2,3,3,3,5,1,2
911,1,0,1,4,0,2,9,9,2,5,0,0,0,3,2,8,2,2,0,2,5,0,2
931,1,0,1,0,2,0,5,6,0,5,7,0,3,3,4,2,2,2,2,2,5,10,2
455,1,3,1,4,0,3,15,5,4,5,1,0,3,3,2,8,2,2,3,3,5,3,2
357,1,1,1,4,0,3,0,9,4,5,0,0,3,3,4,8,2,2,0,1,5,3,2
323,0,1,1,4,2,1,0,6,2,5,1,0,0,3,2,8,4,9,3,3,5,1,2
300,5,1,1,4,0,3,4,6,2,5,7,0,0,3,3,6,2,7,3,3,5,11,2
229,3,0,1,2,0,4,0,7,4,5,0,0,0,3,2,8,4,2,0,2,5,16,2
695,1,2,1,4,0,4,2,7,1,5,7,0,0,0,2,8,2,4,3,3,5,3,2
640,1,1,1,1,0,2,3,2,5,7,0,0,0,0,2,8,3,2,1,2,5,1,2
786,2,0,1,4,0,1,0,7,0,5,1,0,0,0,2,8,2,3,3,3,5,16,2
984,6,1,1,1,0,1,11,6,1,3,1,0,3,3,2,8,2,3,3,3,5,3,2
300,0,1,1,4,0,2,7,5,6,5,7,0,0,3,2,8,2,4,3,3,5,10,2
137,2,2,1,1,0,3,7,9,0,5,7,0,0,3,2,1,2,2,3,3,5,1,2
713,6,0,1,1,0,3,6,9,2,5,1,0,0,0,2,8,1,9,0,2,5,10,2
348,3,3,1,4,0,4,0,7,2,5,7,0,0,3,7,2,2,4,3,3,5,3,2
291,1,2,1,4,0,0,10,7,2,5,7,0,0,3,2,8,2,2,3,3,5,3,2
797,5,4,1,1,0,2,0,9,2,5,1,0,3,2,8,8,2,1,3,3,5,0,2
660,0,0,1,4,0,0,6,7,1,5,0,0,0,0,3,8,2,2,2,2,0,10,2
839,1,0,1,4,0,1,5,6,4,5,1,4,0,3,2,8,2,2,0,2,5,0,2
831,6,0,1,4,0,0,0,6,2,5,7,0,0,3,2,2,2,2,2,2,2,0,2
453,1,1,2,4,0,3,5,7,4,5,1,0,0,3,2,8,2,2,3,3,5,10,2
206,6,0,1,1,0,2,0,7,2,5,7,0,3,3,2,8,2,2,3,3,5,3,2
1014,2,0,1,4,0,2,16,9,2,5,1,0,3,3,2,8,3,2,0,2,5,1,2
38,2,2,1,4,0,1,8,7,0,5,2,0,0,3,2,8,2,11,3,3,5,10,2
117,0,1,1,4,0,2,15,7,4,5,1,0,3,3,4,8,2,4,3,3,5,1,1
549,2,0,1,1,0,1,9,5,4,7,0,0,0,3,2,8,3,2,0,2,5,13,2
348,0,3,1,4,0,0,5,6,2,5,7,0,0,3,2,8,3,7,0,2,5,3,1
292,1,1,1,2,2,3,0,6,2,6,1,0,0,3,2,8,2,2,3,3,5,10,2
31,3,1,1,1,0,1,0,6,4,5,1,0,3,1,4,8,2,2,3,3,5,13,1
359,1,0,1,4,0,3,5,7,4,5,0,0,0,3,2,8,1,2,3,3,5,2,2
142,3,2,1,4,0,4,7,7,6,5,7,0,3,3,2,2,2,2,2,2,5,10,2
242,3,0,1,2,0,1,0,1,2,5,7,0,0,3,2,8,3,2,1,2,5,4,2
520,4,1,1,4,0,4,0,5,4,5,0,0,3,0,2,8,2,2,3,3,5,3,2
394,5,1,1,4,2,1,3,7,2,3,1,0,0,3,2,2,1,2,0,2,5,12,1
247,3,1,1,4,0,3,5,6,4,5,1,0,0,3,2,8,1,2,0,2,5,11,1
158,4,3,1,4,0,5,10,9,2,5,7,1,0,3,2,2,2,7,0,2,5,13,2
992,4,1,1,4,0,0,8,7,2,5,7,0,0,3,2,8,2,2,3,3,5,12,2
420,3,2,1,4,0,3,0,6,2,5,1,3,0,3,7,8,2,2,3,3,5,12,2
173,0,2,1,4,2,0,4,9,2,5,3,0,0,3,2,2,2,2,3,3,5,16,1
111,3,2,1,1,2,4,8,6,4,5,1,0,0,3,2,6,2,2,0,2,5,2,1
482,3,0,1,1,0,4,5,9,2,5,0,0,0,0,2,1,3,2,3,3,5,0,2
1007,6,4,1,4,0,1,11,7,6,5,7,0,3,3,4,8,2,2,3,3,5,0,2
100,1,4,0,4,0,2,0,7,2,5,1,0,0,3,2,1,2,2,3,3,5,0,2
654,4,0,1,1,0,1,7,0,4,5,1,0,0,0,2,8,3,2,0,2,5,3,2
613,6,1,2,4,0,0,0,7,6,5,0,0,0,0,2,8,1,9,0,2,5,10,2
